Armazem;Deposito;         ;Produto;Descricao;Unidade;Saldo Anterior;Entradas;Saidas;Saldo Atual;Transito;Disponivel;Inventario;Diferenca;Diferenca Congelamento;Trans_Ant;Trans_Ant_nao_carregado;Trans_Dia_nao_carregado;Comodato OP03;Venda Vas OP85;Valorizacao;Sinal;               ;               ;               ;               ;               ;Saldo Unitário ;               ;               ;               ;               ;               ;               ;               ;Sub-Depósitos  ;Saldo Atual Real;Saldo Grade Real
01;20;000;00000157;GUARANA DK 290ML                             ;Dz  ;          1/00-;          0/00;          0/00;          1/00-;          0/00 ;          1/00-;          0/00 ;          1/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000000,0000000; ;  ;     ;                   ;                   ;                   ;-00000000012;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          1/00-;          1/00-
01;20;000;00000347;SUKITA PET 1L CAIXA C/12                     ;cx  ;      2.268/11 ;          0/00;          0/00;      2.268/11 ;         34/00 ;      2.234/11 ;          0/00 ;      2.234/11-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000055023,6483422;-;  ;     ;                   ;                   ;                   ; 00000026819;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      2.268/11 ;      2.234/11 
01;20;000;00000371;MALZBIER BRAHMA LONG NECK 355ML SIX-PACK BAND;cx  ;          0/10-;          0/00;          0/00;          0/10-;          0/00 ;          0/10-;          0/00 ;          0/10 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000019,0375000; ;  ;     ;                   ;                   ;                   ;-00000000010;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          0/10-;          0/10-
01;20;000;00000503;SUKITA PET 2L CAIXA C/6                      ;cx  ;      4.643/04 ;          3/00;          0/00;      4.646/04 ;        446/00 ;      4.200/04 ;          0/00 ;      4.200/04-;          0/00 ;        127/00 ;          0/00 ;        200/00 ;          0/00 ;          0/00 ;00000058221,2400000;-;  ;     ;                   ;                   ;                   ; 00000025204;            ;                   ;                   ;                   ;                   ;                   ;                   ;        171/00 ;      4.475/04 ;      4.029/04 
01;20;000;00000504;PEPSI COLA PET 2L CAIXA C/6                  ;cx  ;      2.101/03 ;          3/01;          0/00;      2.104/04 ;        410/03 ;      1.694/01 ;          0/00 ;      1.694/01-;          0/00 ;         13/00 ;          0/00 ;        200/00 ;          0/00 ;          0/00 ;00000030240,8750000;-;  ;     ;                   ;                   ;                   ; 00000010165;            ;                   ;                   ;                   ;                   ;                   ;                   ;         30/00 ;      2.074/04 ;      1.664/01 
01;20;000;00000772;PEPSI COLA MIX BAG IN BOX 18L                ;L   ;         36/00 ;          0/00;          0/00;         36/00 ;          0/00 ;         36/00 ;          0/00 ;         36/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000003820,6800000;-;  ;     ;                   ;                   ;                   ; 00000000036;            ;                   ;                   ;                   ;                   ;                   ;                   ;         23/00 ;         13/00 ;         13/00 
01;20;000;00000828;CHOPP BRAHMA CLARO BARRIL KEG 30L            ;L   ;      1.203/00 ;          0/00;          0/00;      1.203/00 ;          0/00 ;      1.203/00 ;          0/00 ;      1.203/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000066489,8100000;-;  ;     ;                   ;                   ;                   ; 00000001203;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      1.203/00 ;      1.203/00 
01;20;000;00000838;CHOPP BRAHMA CLARO BARRIL KEG 50L            ;L   ;     22.594/00 ;          0/00;          0/00;     22.594/00 ;      2.050/00 ;     20.544/00 ;          0/00 ;     20.544/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00001836839,0400000;-;  ;     ;                   ;                   ;                   ; 00000020544;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;     22.594/00 ;     20.544/00 
01;20;000;00000982;SKOL 600ML                                   ;Dz  ;      1.159/00 ;          4/00;          0/00;      1.163/00 ;         68/00 ;      1.095/00 ;          0/00 ;      1.095/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000041938,5000043;-;  ;     ;                   ;                   ;                   ; 00000013140;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      1.163/00 ;      1.095/00 
01;20;000;00000988;BRAHMA CHOPP 600ML                           ;Dz  ;        137/02 ;          2/00;          0/00;        139/02 ;         18/00 ;        121/02 ;          0/00 ;        121/02-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000004715,8066661;-;  ;     ;                   ;                   ;                   ; 00000001454;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;        139/02 ;        121/02 
