CodigoProduto;DescricaoProduto;UnidadeMedida;GradeEstoque;GradeCadastrada;Reserva;Saida;SaldoDisponivel
347;SUKITA PET 1L CAIXA C/12;Caixa;1;1788;0;10;1778
503;SUKITA PET 2L CAIXA C/6;Caixa;1;3146;0;20;3126
504;PEPSI COLA PET 2L CAIXA C/6;Caixa;1;1532;0;20;1512
772;PEPSI COLA MIX BAG IN BOX 18L;Litro;1;12;0;0;12
828;CHOPP BRAHMA CLARO BARRIL KEG 30L;Litro;1;0;0;0;0
838;CHOPP BRAHMA CLARO BARRIL KEG 50L;Litro;1;3450;0;0;3450
982;SKOL 600ML;Duzia;1;1058;0;0;1058
988;BRAHMA CHOPP 600ML;Duzia;1;104;0;0;104
1164;SUKITA UVA LATA 350ML SH C/12 NPAL;Caixa;1;106;0;6;100
1166;SUKITA UVA PET 2L CAIXA C/6;Caixa;1;520;0;8;512
1388;SKOL GFA VD 1L 2,99;Duzia;1;3162;0;4;3158
1695;BRAHMA CHOPP GFA VD 1L COM TTC;Duzia;1;962;0;0;962
1699;STELLA ARTOIS LT 269ML CX C/8 FRIDGE PACK;Caixa;1;6490;0;10;6480
1708;GUARANA ANTARCTICA ZERO PET 2,5L CAIXA C/6;Caixa;1;126;0;0;126
1743;ANTARCTICA PILSEN GFA VD 1L COM TTC;Duzia;1;3409;0;0;3409
1745;SKOL LT 269ML SH C15 NPAL;Caixa;1;1840;0;4;1836
2008;ANTARCTICA SUBZERO LATA 350ML SH C/12 NPAL;Caixa;1;761;0;20;741
2243;GUARANA CHP ANTARCTICA MIX BAG IN BOX 18L;Litro;1;519;0;0;519
2248;SODA LIMONADA ANTARCTICA MIX BAG IN BOX 18L;Litro;1;1;0;0;1
2250;GUARANA CHP ANTARCTICA DIET MIX BAG IN BOX 18L;Litro;1;357;0;0;357
2319;GUARANA CHP ANTARCTICA PET 1L CAIXA C/12;Caixa;1;7367;0;61;7306
2320;SODA LIMONADA ANTARCTICA PET 1L CAIXA C/12;Caixa;1;873;0;20;853
2349;GUARANA CHP ANTARCTICA PET 2L CAIXA C/6;Caixa;1;26838;0;82;26756
2350;SODA LIMONADA ANTARCTICA PET 2L CAIXA C/6;Caixa;1;165;0;11;154
2353;GUARANA CHP ANTARCTICA DIET PET 2L CAIXA C/6;Caixa;1;4416;0;50;4366
2538;ANTARCTICA PILSEN 600ML;Duzia;1;1;0;0;1
2546;ORIGINAL 600ML;Duzia;1;10102;0;16;10086
2548;BUDWEISER 600ML;Duzia;1;5778;0;2;5776
4249;MINALBA AGUA MINERAL S/GAS GFA PET 1,5L FD C/6;Caixa;1;106;0;0;106
4262;MICHELOB ULTRA N LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;3530;0;6;3524
4293;PEPSI BLACK PET 200ML SH C/12;Caixa;1;528;0;11;517
4359;INDAIA AGUA MINERAL C/GAS GFA PET 1,5L FD C/6;Caixa;1;39;0;0;39
4367;INDAIA AGUA MINERAL S/GAS GFA PET 1,5L FD C/6;Caixa;1;2;0;0;2
4409;PEPSI TWIST PET 2L SHRINK C/6;Caixa;1;992;0;20;972
7325;PEPSI COLA PET 1L CAIXA C/12;Caixa;1;1764;0;21;1743
7431;SUKITA MIX BAG IN BOX 18L;Litro;1;88;0;0;88
7945;PEPSI COLA PET 2,5L CAIXA C/6;Caixa;1;160;0;6;154
7947;GUARANA CHP ANTARCTICA PET 2,5L CAIXA C/6;Caixa;1;945;0;60;885
7977;GATORADE UVA PET 500ML SIXPACK;Caixa;1;233;0;4;229
7981;GATORADE LARANJA PET 500ML SIXPACK;Caixa;1;671;0;7;664
7982;GATORADE LIMAO PET 500ML SIXPACK;Caixa;1;1387;0;7;1380
7983;GATORADE MORANGO-MARACUJA PET 500ML SIXPACK;Caixa;1;474;0;7;467
8037;CHOPP CLARO STELLA ARTOIS BARRIL KEG 30L;Litro;1;270;0;0;270
8411;GUARANA CHP ANTARCTICA PET 1,5 SHRINK C/6;Caixa;1;1;0;0;1
8791;H2OH LIMAO C/GAS PET 500ML CAIXA C/12;Caixa;1;3793;0;31;3762
8793;H2OH LIMAO C/GAS PET 1,5L CAIXA C/6;Caixa;1;3;0;0;3
9067;ANTARCTICA PILSEN LATA 350ML SH C/12 NPAL;Caixa;1;56;0;43;13
9068;SKOL LATA 350ML SH C/12 NPAL;Caixa;1;281;0;40;241
9069;BRAHMA CHOPP LATA 350ML SH C/12 NPAL;Caixa;1;23;0;20;3
9072;BOHEMIA NOVA EMBALAGEM LATA 350ML SH C/12 NPAL;Caixa;1;283;0;0;283
9081;MALZBIER BRAHMA LATA 350ML SH C/12 NPAL;Caixa;1;52;0;8;44
9083;SKOL LT 473ML SH C/12 NPAL;Caixa;1;5983;0;55;5928
9084;GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL;Caixa;1;23540;0;42;23498
9085;GUARANA CHP ANTARCTICA DIET LATA 350ML SH C/12 NPAL;Caixa;1;5330;0;62;5268
9089;SUKITA LATA 350ML SH C/12 NPAL;Caixa;1;103;0;10;93
9091;TONICA ANTARCTICA LATA 350ML SH C/12 NPAL;Caixa;1;1082;0;19;1063
9092;TONICA ANTARCTICA DIET LATA 350ML SH C/12 NPAL;Caixa;1;323;0;11;312
9093;PEPSI TWIST LATA 350ML SH C/12 NPAL;Caixa;1;5;0;5;0
9096;PEPSI COLA LATA 350ML SH C/12 NPAL;Caixa;1;1711;0;20;1691
9274;PEPSI ZERO LATA 350ML SH C/12 NPAL;Caixa;1;3768;0;20;3748
9276;PEPSI ZERO PET 2L CAIXA C/6;Caixa;1;1973;0;20;1953
9320;BRAHMA CHOPP LT 473ML SH C/12 NPAL;Caixa;1;445;0;60;385
9427;ANTARCTICA PILSEN LT 473ML SH C/12 NPAL;Caixa;1;4401;0;0;4401
9442;PEPSI TWIST MIX BAG IN BOX 18L;Litro;1;17;0;0;17
9795;GUARANA ANTARCTICA ZERO PET 1L CAIXA C/12;Caixa;1;2544;0;70;2474
10175;ANTARCTICA SUBZERO LT 473ML SH C/12 NPAL;Caixa;1;4664;0;21;4643
10530;ANTARCTICA SUBZERO GFA VD 1L;Duzia;1;1525;0;3;1522
11108;BRAHMA CHOPP LATA 550ML SHRINK C/12;Caixa;1;1;0;0;1
11110;SKOL LATA 550ML SHRINK C/12;Caixa;1;1232;0;0;1232
12948;BRAHMA CHOPP ZERO LATA 350ML SH C/12 NPAL;Caixa;1;3666;0;0;3666
13061;H2OH LIMONETO PET 500ML SHRINK C/12 NPAL;Caixa;1;6887;0;41;6846
13065;H2OH LIMONETO PET 1,5 SHRINK C/06 NPAL;Caixa;1;0;0;0;0
13196;SKOL ONE WAY 300ML CX C/23;Caixa;1;1205;0;0;1205
13201;BRAHMA CHOPP GFA VD 300ML CX C/23;Caixa;1;21;0;0;21
13203;ANTARCTICA PILSEN GFA VD 300ML CX C/23;Caixa;1;1582;0;0;1582
13205;SKOL GFA VD 300ML CX C/23;Caixa;1;1260;0;4;1256
13566;SKOL BEATS SENSES LT 269ML CX C/8 FRIDGE PACK;Caixa;1;1656;0;6;1650
14135;BUDWEISER LATA 473ML SIX-PACK SH C/2 NPAL;Caixa;1;37953;0;50;37903
17808;BUDWEISER OW 330ML CX C/24;Caixa;1;2207;0;20;2187
18152;GUARANA CHP ANTARCTICA PET 200ML SH C/12;Caixa;1;1100;0;4;1096
18266;PEPSI COLA PET 200ML SH C/12;Caixa;1;481;0;23;458
18267;SODA LIMONADA ANTARCTICA PET 200ML SH C/12;Caixa;1;194;0;15;179
18268;SUKITA PET 200ML SH C/12;Caixa;1;775;0;40;735
18780;CORONITA EXTRA N OW 210ML CX C/4 SIX PACK;Caixa;1;1254;0;10;1244
18807;STELLA ARTOIS LONG NECK 330ML SIX-PACK SHRINK C/4;Caixa;1;3727;0;20;3707
18836;CORONA EXTRA N LONG NECK 330ML CX C/24 NPAL;Caixa;1;6068;0;10;6058
19164;GUARANA CHP ANTARCTICA PET 1L PACK C/2 MULTPACK;Caixa;1;57582;0;1050;56532
19225;RED BULL BR LATA 250ML CX C 24 NPAL .;Caixa;1;265;0;0;265
19229;RED BULL BR LATA 250ML SIX PACK NPAL .;Caixa;1;1892;0;0;1892
19231;RED BULL SUGAR FREE BR LATA 250ML FOUR PACK NPAL .;Caixa;1;2;0;0;2
19321;GUARANA ANTARCTICA ZERO PET 200ML SH C/12;Caixa;1;1;0;0;1
19668;ORIGINAL LATA 350ML SH C/12 NPAL;Caixa;1;5110;0;9;5101
19729;STELLA ARTOIS LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;2873;0;5;2868
20164;SKOL LT 473ML SH C/12 NPAL MULTPACK 12;Caixa;1;4757;0;0;4757
20217;ORIGINAL GFA VD 300ML CX C/23;Caixa;1;4467;0;2;4465
20498;BRAHMA DUPLO MALTE LT SLEEK 350ML SH C 12;Caixa;1;1387;0;40;1347
20530;STELLA ARTOIS 600 ML;Duzia;1;5465;0;8;5457
20535;STELLA ARTOIS ONE WAY 600ML CX C/12 NPAL;Caixa;1;514;0;2;512
20651;CORONA EXTRA N LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;141;0;10;131
